Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
917,195,2,22,S,H2M22,3,1.65226059,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,195,2,23,S,H2M23,3,1.65226059,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,200,1,12,S,H1M12,3,1.694796646,III,VL,NaN,A,V
,,,,,,,,,,,,
917,207,1,4,S,H1M4,3,1.754347125,NaN,DL,NaN,A,D
,,,,,,,,,,,,
917,214,1,3,S,H1M3,3,1.813897604,II,DL,NaN,A,D
,,,,,,,,,,,,
917,257,4,21,S,H4M21,4,2.179707688,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,257,5,21,S,H5M21,4,2.179707688,III,TR,NaN,P,TR
,,,,,,,,,,,,
917,259,3,8,S,H3M8,4,2.19672211,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,259,4,8,S,H4M8,4,2.19672211,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,261,4,22,S,H4M22,4,2.213736533,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,261,4,23,S,H4M23,4,2.213736533,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,263,3,21,S,H3M21,4,2.230750955,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,264,3,22,S,H3M22,4,2.239258166,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,264,3,23,S,H3M23,4,2.239258166,III,TR,NaN,A,TR
,,,,,,,,,,,,
917,265,3,2,S,H3M2,4,2.247765378,II,DL,NaN,A,D
,,,,,,,,,,,,
917,271,3,3,S,H3M3,4,2.298808645,II,DL,NaN,A,D
,,,,,,,,,,,,
917,279,2,12,S,H2M12,4,2.366866335,III,VL,NaN,A,V
,,,,,,,,,,,,
917,315,2,3,S,H2M3,5,2.67312594,II,DL,NaN,A,D
,,,,,,,,,,,,
917,315,6,13,S,H6M13,5,2.67312594,III,VL,NaN,P,V
,,,,,,,,,,,,
917,316,7,25,S,H7M25,5,2.681633151,I,TR,NaN,P,TR
,,,,,,,,,,,,
917,317,6,8,S,H6M8,5,2.690140363,III,TR,NaN,P,TR
