Prep,Frame,H,M,Phase,Combo,Bout,Time,Class,Type,Moves,AComp,DComp
,,,,,,,,,,,,
821,3282,4,22,S,H4M22,47,27.91888,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3282,4,25,S,H4M25,47,27.91888,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3283,4,23,S,H4M23,47,27.92738667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3283,4,28,S,H4M28,47,27.92738667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3283,5,24,S,H5M24,47,27.92738667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3283,7,3,S,H7M3,47,27.92738667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3283,7,2,S,H7M2,47,27.92738667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3283,2,22,S,H2M22,47,27.92738667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3283,2,23,S,H2M23,47,27.92738667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3283,2,24,S,H2M24,47,27.92738667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3284,5,25,S,H5M25,47,27.93589333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3284,3,21,S,H3M21,47,27.93589333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3284,3,22,S,H3M22,47,27.93589333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3284,3,23,S,H3M23,47,27.93589333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3285,2,8,S,H2M8,47,27.9444,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3285,3,24,S,H3M24,47,27.9444,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3285,5,28,S,H5M28,47,27.9444,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3287,4,5,S,H4M5,47,27.96141333,I,DO,NaN,A,D
,,,,,,,,,,,,
821,3288,4,2,S,H4M2,47,27.96992,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3288,6,3,S,H6M3,47,27.96992,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3290,3,26,S,H3M26,47,27.98693333,I,VA,NaN,A,V
,,,,,,,,,,,,
821,3291,3,5,S,H3M5,47,27.99544,I,DO,NaN,A,D
,,,,,,,,,,,,
821,3291,2,26,S,H2M26,47,27.99544,I,VA,NaN,A,V
,,,,,,,,,,,,
821,3293,3,25,S,H3M25,47,28.01245333,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3324,6,13,S,H6M13,48,28.27616,III,VL,NaN,P,V
,,,,,,,,,,,,
821,3324,7,13,S,H7M13,48,28.27616,III,VL,NaN,P,V
,,,,,,,,,,,,
821,3325,3,3,S,H3M3,48,28.28466667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3337,2,3,S,H2M3,48,28.38674667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3341,2,13,S,H2M13,48,28.42077333,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3354,3,12,S,H3M12,48,28.53136,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3402,7,25,S,H7M25,49,28.93968,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3402,6,8,S,H6M8,49,28.93968,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3405,3,8,S,H3M8,49,28.9652,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3405,4,21,S,H4M21,49,28.9652,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3405,4,22,S,H4M22,49,28.9652,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3405,4,8,S,H4M8,49,28.9652,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3407,4,25,S,H4M25,49,28.98221333,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3407,4,23,S,H4M23,49,28.98221333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3407,5,21,S,H5M21,49,28.98221333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3407,5,22,S,H5M22,49,28.98221333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3407,5,23,S,H5M23,49,28.98221333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3407,3,25,S,H3M25,49,28.98221333,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3408,2,8,S,H2M8,49,28.99072,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3408,3,21,S,H3M21,49,28.99072,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3408,3,22,S,H3M22,49,28.99072,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3408,3,23,S,H3M23,49,28.99072,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3408,4,28,S,H4M28,49,28.99072,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3408,5,25,S,H5M25,49,28.99072,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3411,3,2,S,H3M2,49,29.01624,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3412,3,28,S,H3M28,49,29.02474667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3414,2,21,S,H2M21,49,29.04176,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3414,2,22,S,H2M22,49,29.04176,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3414,2,23,S,H2M23,49,29.04176,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3414,2,26,S,H2M26,49,29.04176,I,VA,NaN,A,V
,,,,,,,,,,,,
821,3414,3,2,S,H3M2,49,29.04176,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3416,2,2,S,H2M2,49,29.05877333,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3445,1,4,S,H1M4,50,29.30546667,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,3460,5,3,S,H5M3,50,29.43306667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3473,1,21,S,H1M21,50,29.54365333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3473,1,22,S,H1M22,50,29.54365333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3473,1,23,S,H1M23,50,29.54365333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3481,2,25,S,H2M25,50,29.61170667,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3481,1,8,S,H1M8,50,29.61170667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3486,1,3,S,H1M3,50,29.65424,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3496,2,12,S,H2M12,50,29.73930667,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3504,5,13,S,H5M13,50,29.80736,III,VL,NaN,P,V
,,,,,,,,,,,,
821,3524,3,8,S,H3M8,51,29.97749333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3524,6,2,S,H6M2,51,29.97749333,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3524,6,28,S,H6M28,51,29.97749333,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3525,4,25,S,H4M25,51,29.986,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3525,4,8,S,H4M8,51,29.986,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,4,21,S,H4M21,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,4,22,S,H4M22,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,4,23,S,H4M23,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,5,21,S,H5M21,51,29.99450667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3526,5,22,S,H5M22,51,29.99450667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3526,5,23,S,H5M23,51,29.99450667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3526,5,24,S,H5M24,51,29.99450667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3526,3,21,S,H3M21,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,3,22,S,H3M22,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,3,23,S,H3M23,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3526,2,8,S,H2M8,51,29.99450667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3535,2,4,S,H2M4,51,30.07106667,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,3562,3,2,S,H3M2,52,30.30074667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3567,2,2,S,H2M2,52,30.34328,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3568,2,24,S,H2M24,52,30.35178667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3579,3,13,S,H3M13,52,30.44536,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3579,4,1,S,H4M1,52,30.44536,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3585,3,1,S,H3M1,52,30.4964,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3588,4,28,S,H4M28,52,30.52192,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3604,7,13,S,H7M13,53,30.65802667,III,VL,NaN,P,V
,,,,,,,,,,,,
821,3605,4,21,S,H4M21,53,30.66653333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3608,3,8,S,H3M8,53,30.69205333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3608,4,22,S,H4M22,53,30.69205333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3608,4,23,S,H4M23,53,30.69205333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3608,4,24,S,H4M24,53,30.69205333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3608,5,22,S,H5M22,53,30.69205333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3610,4,2,S,H4M2,53,30.70906667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3610,5,23,S,H5M23,53,30.70906667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3611,4,8,S,H4M8,53,30.71757333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3611,7,25,S,H7M25,53,30.71757333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3613,4,8,S,H4M8,53,30.73458667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3613,5,24,S,H5M24,53,30.73458667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3614,5,21,S,H5M21,53,30.74309333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3617,5,25,S,H5M25,53,30.76861333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3619,7,2,S,H7M2,53,30.78562667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3619,5,2,S,H5M2,53,30.78562667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3645,6,23,S,H6M23,54,31.0068,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3645,6,24,S,H6M24,54,31.0068,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3649,6,8,S,H6M8,54,31.04082667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3651,6,21,S,H6M21,54,31.05784,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3656,5,8,S,H5M8,54,31.10037333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3660,5,28,S,H5M28,54,31.1344,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3661,7,28,S,H7M28,54,31.14290667,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3661,2,8,S,H2M8,54,31.14290667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3661,2,21,S,H2M21,54,31.14290667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3661,2,22,S,H2M22,54,31.14290667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3663,7,25,S,H7M25,54,31.15992,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3675,1,4,S,H1M4,54,31.262,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,3684,5,3,S,H5M3,54,31.33856,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3697,2,13,S,H2M13,54,31.44914667,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3706,4,12,S,H4M12,54,31.52570667,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3736,2,12,S,H2M12,55,31.78090667,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3757,4,3,S,H4M3,55,31.95954667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3764,3,3,S,H3M3,55,32.01909333,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3764,5,21,S,H5M21,55,32.01909333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3764,5,22,S,H5M22,55,32.01909333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3764,5,23,S,H5M23,55,32.01909333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3764,5,24,S,H5M24,55,32.01909333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3765,4,8,S,H4M8,55,32.0276,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3765,5,8,S,H5M8,55,32.0276,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3765,6,21,S,H6M21,55,32.0276,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3765,4,21,S,H4M21,55,32.0276,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3766,4,22,S,H4M22,55,32.03610667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3766,4,23,S,H4M23,55,32.03610667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3766,3,8,S,H3M8,55,32.03610667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3766,4,25,S,H4M25,55,32.03610667,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3766,4,28,S,H4M28,55,32.03610667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3766,5,25,S,H5M25,55,32.03610667,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3767,6,23,S,H6M23,55,32.04461333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3767,3,2,S,H3M2,55,32.04461333,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3767,3,22,S,H3M22,55,32.04461333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3768,6,25,S,H6M25,55,32.05312,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3768,6,24,S,H6M24,55,32.05312,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3768,6,3,S,H6M3,55,32.05312,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3768,7,25,S,H7M25,55,32.05312,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3769,2,8,S,H2M8,55,32.06162667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3769,3,21,S,H3M21,55,32.06162667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3772,4,2,S,H4M2,55,32.08714667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3772,5,28,S,H5M28,55,32.08714667,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3772,3,23,S,H3M23,55,32.08714667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3772,2,26,S,H2M26,55,32.08714667,I,VA,NaN,A,V
,,,,,,,,,,,,
821,3772,4,24,S,H4M24,55,32.08714667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3790,1,8,S,H1M8,55,32.24026667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3795,2,12,S,H2M12,55,32.2828,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3810,2,24,S,H2M24,55,32.4104,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3820,2,3,S,H2M3,55,32.49546667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3820,3,1,S,H3M1,55,32.49546667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3883,4,1,S,H4M1,56,33.03138667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3883,5,1,S,H5M1,56,33.03138667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3887,1,21,S,H1M21,56,33.06541333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3887,1,22,S,H1M22,56,33.06541333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3887,1,23,S,H1M23,56,33.06541333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3887,7,25,S,H7M25,56,33.06541333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3889,6,8,S,H6M8,56,33.08242667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3889,6,21,S,H6M21,56,33.08242667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3889,6,23,S,H6M23,56,33.08242667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3889,6,24,S,H6M24,56,33.08242667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3890,5,8,S,H5M8,56,33.09093333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3892,4,8,S,H4M8,56,33.10794667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3892,5,21,S,H5M21,56,33.10794667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3892,5,22,S,H5M22,56,33.10794667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3892,5,23,S,H5M23,56,33.10794667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3892,5,24,S,H5M24,56,33.10794667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,3893,6,28,S,H6M28,56,33.11645333,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3894,6,25,S,H6M25,56,33.12496,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3895,4,21,S,H4M21,56,33.13346667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3895,3,8,S,H3M8,56,33.13346667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3896,4,22,S,H4M22,56,33.14197333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3896,5,25,S,H5M25,56,33.14197333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,3897,4,23,S,H4M23,56,33.15048,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3897,4,24,S,H4M24,56,33.15048,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3897,6,2,S,H6M2,56,33.15048,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3897,5,2,S,H5M2,56,33.15048,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3898,4,28,S,H4M28,56,33.15898667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3898,5,28,S,H5M28,56,33.15898667,I,VO,NaN,P,V
,,,,,,,,,,,,
821,3898,3,21,S,H3M21,56,33.15898667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3898,3,22,S,H3M22,56,33.15898667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3898,3,25,S,H3M25,56,33.15898667,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,3898,2,8,S,H2M8,56,33.15898667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3899,2,21,S,H2M21,56,33.16749333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3899,2,22,S,H2M22,56,33.16749333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,3900,4,2,S,H4M2,56,33.176,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3903,3,5,S,H3M5,56,33.20152,I,DO,NaN,A,D
,,,,,,,,,,,,
821,3904,3,28,S,H3M28,56,33.21002667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,3909,2,2,S,H2M2,56,33.25256,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3927,1,4,S,H1M4,56,33.40568,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,3927,1,2,S,H1M2,56,33.40568,II,DL,NaN,A,D
,,,,,,,,,,,,
821,3940,7,13,S,H7M13,56,33.51626667,III,VL,NaN,P,V
,,,,,,,,,,,,
821,3942,2,12,S,H2M12,56,33.53328,III,VL,NaN,A,V
,,,,,,,,,,,,
821,3946,7,2,S,H7M2,56,33.56730667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3972,7,3,S,H7M3,57,33.78848,II,DL,NaN,P,D
,,,,,,,,,,,,
821,3975,3,3,S,H3M3,57,33.814,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4002,3,24,S,H3M24,58,34.04368,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4004,2,13,S,H2M13,58,34.06069333,III,VL,NaN,A,V
,,,,,,,,,,,,
821,4014,1,8,S,H1M8,58,34.14576,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4028,2,4,S,H2M4,58,34.26485333,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,4028,4,3,S,H4M3,58,34.26485333,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4031,5,3,S,H5M3,58,34.29037333,II,DL,NaN,P,D
,,,,,,,,,,,,
821,4044,4,21,S,H4M21,58,34.40096,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4044,5,21,S,H5M21,58,34.40096,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4044,5,22,S,H5M22,58,34.40096,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4044,5,23,S,H5M23,58,34.40096,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4045,4,22,S,H4M22,58,34.40946667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4045,4,23,S,H4M23,58,34.40946667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4045,4,24,S,H4M24,58,34.40946667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4045,5,24,S,H5M24,58,34.40946667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4045,3,8,S,H3M8,58,34.40946667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4045,4,8,S,H4M8,58,34.40946667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4045,4,25,S,H4M25,58,34.40946667,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,4050,2,26,S,H2M26,58,34.452,I,VA,NaN,A,V
,,,,,,,,,,,,
821,4053,2,8,S,H2M8,58,34.47752,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4053,1,13,S,H1M13,58,34.47752,III,VL,NaN,A,V
,,,,,,,,,,,,
821,4055,3,21,S,H3M21,58,34.49453333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4055,3,22,S,H3M22,58,34.49453333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4056,2,21,S,H2M21,58,34.50304,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4057,2,5,S,H2M5,58,34.51154667,I,DO,NaN,A,D
,,,,,,,,,,,,
821,4059,2,22,S,H2M22,58,34.52856,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4065,2,23,S,H2M23,58,34.5796,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4065,2,24,S,H2M24,58,34.5796,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4065,3,2,S,H3M2,58,34.5796,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4076,2,3,S,H2M3,58,34.67317333,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4097,7,2,S,H7M2,58,34.85181333,II,DL,NaN,P,D
,,,,,,,,,,,,
821,4118,6,23,S,H6M23,59,35.03045333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4118,6,24,S,H6M24,59,35.03045333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4120,6,21,S,H6M21,59,35.04746667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4128,5,2,S,H5M2,59,35.11552,II,DL,NaN,P,D
,,,,,,,,,,,,
821,4140,5,28,S,H5M28,59,35.2176,I,VO,NaN,P,V
,,,,,,,,,,,,
821,4157,7,13,S,H7M13,60,35.36221333,III,VL,NaN,P,V
,,,,,,,,,,,,
821,4168,1,21,S,H1M21,60,35.45578667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4168,1,22,S,H1M22,60,35.45578667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4168,1,23,S,H1M23,60,35.45578667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4175,2,12,S,H2M12,60,35.51533333,III,VL,NaN,A,V
,,,,,,,,,,,,
821,4175,4,13,S,H4M13,60,35.51533333,III,VL,NaN,A,V
,,,,,,,,,,,,
821,4178,6,13,S,H6M13,60,35.54085333,III,VL,NaN,P,V
,,,,,,,,,,,,
821,4180,6,8,S,H6M8,60,35.55786667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4184,5,13,S,H5M13,60,35.59189333,III,VL,NaN,P,V
,,,,,,,,,,,,
821,4191,3,12,S,H3M12,60,35.65144,III,VL,NaN,A,V
,,,,,,,,,,,,
821,4203,1,4,S,H1M4,60,35.75352,NaN,DL,NaN,A,D
,,,,,,,,,,,,
821,4234,3,3,S,H3M3,61,36.01722667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4247,6,25,S,H6M25,61,36.12781333,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,4248,3,8,S,H3M8,61,36.13632,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4248,4,8,S,H4M8,61,36.13632,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4248,4,21,S,H4M21,61,36.13632,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4248,4,22,S,H4M22,61,36.13632,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4248,5,8,S,H5M8,61,36.13632,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4249,4,23,S,H4M23,61,36.14482667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4249,4,24,S,H4M24,61,36.14482667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4249,5,25,S,H5M25,61,36.14482667,I,TR,NaN,P,TR
,,,,,,,,,,,,
821,4249,5,21,S,H5M21,61,36.14482667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4249,5,22,S,H5M22,61,36.14482667,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4249,6,2,S,H6M2,61,36.14482667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,4249,4,28,S,H4M28,61,36.14482667,I,VO,NaN,A,V
,,,,,,,,,,,,
821,4250,4,25,S,H4M25,61,36.15333333,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,4250,5,23,S,H5M23,61,36.15333333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4250,5,24,S,H5M24,61,36.15333333,III,TR,NaN,P,TR
,,,,,,,,,,,,
821,4250,3,22,S,H3M22,61,36.15333333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4251,2,8,S,H2M8,61,36.16184,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4252,3,21,S,H3M21,61,36.17034667,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4252,4,2,S,H4M2,61,36.17034667,II,DL,NaN,A,D
,,,,,,,,,,,,
821,4252,6,3,S,H6M3,61,36.17034667,II,DL,NaN,P,D
,,,,,,,,,,,,
821,4252,5,28,S,H5M28,61,36.17034667,I,VO,NaN,P,V
,,,,,,,,,,,,
821,4253,3,21,S,H3M21,61,36.17885333,III,TR,NaN,A,TR
,,,,,,,,,,,,
821,4253,3,26,S,H3M26,61,36.17885333,I,VA,NaN,A,V
,,,,,,,,,,,,
821,4253,3,25,S,H3M25,61,36.17885333,I,TR,NaN,A,TR
,,,,,,,,,,,,
821,4255,3,5,S,H3M5,61,36.19586667,I,DO,NaN,A,D
,,,,,,,,,,,,
821,4255,3,23,S,H3M23,61,36.19586667,III,TR,NaN,A,TR
,,,,,,,,,,,,
